Altium Designer Pick and Place Locations
N:\DOC\Audran\GIT\ELEC\2-PROJ\18-Panel_2020\Project Outputs for Panel_2020\Pick Place\Pick Place for Panel_2020.csv

========================================================================================================================
File Design Information:

Date:       25/08/20
Time:       23:13
Revision:   383b71610d94a7fc4516842a2347a26e2c85e254
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"R390","RESC1005X04N","28.2000","129.9500","TopLayer","360","RC0402FR-0722RL"
"R389","RESC1005X04N","28.2000","131.9400","TopLayer","360","RC0402FR-0722RL"
"R388","RESC1005X04N","50.9500","165.1900","TopLayer","270","RC0402FR-0722RL"
"R387","RESC1005X04N","52.9380","168.6900","TopLayer","270","RC0402FR-0722RL"
"R386","RESC1005X04N","58.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R385","RESC1005X04N","60.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R384","RESC1005X04N","58.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R383","RESC1005X04N","60.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R382","RESC1005X04N","63.4500","132.6900","TopLayer","90","RC0402FR-0722RL"
"R381","RESC1005X04N","65.4500","135.6900","TopLayer","90","RC0402FR-0722RL"
"R380","RESC1005X04N","65.4500","132.6900","TopLayer","90","RC0402FR-0722RL"
"R379","RESC1005X04N","63.4500","135.6900","TopLayer","270","RC0402FR-0722RL"
"R378","RESC1005X04N","62.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R377","RESC1005X04N","64.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R376","RESC1005X04N","50.9380","168.6900","TopLayer","90","RC0402FR-0722RL"
"R375","RESC1005X04N","62.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R374","RESC1005X04N","64.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R373","RESC1005X04N","68.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R372","RESC1005X04N","66.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R371","RESC1005X04N","86.9200","165.1900","TopLayer","90","RC0402FR-0722RL"
"R370","RESC1005X04N","88.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R369","RESC1005X04N","68.9500","165.1900","TopLayer","270","RC0402FR-0722RL"
"R368","RESC1005X04N","72.9500","165.1900","TopLayer","270","RC0402FR-0722RL"
"R367","RESC1005X04N","76.9500","165.1900","TopLayer","270","RC0402FR-0722RL"
"R366","RESC1005X04N","80.9300","165.1900","TopLayer","270","RC0402FR-0722RL"
"R365","RESC1005X04N","66.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R364","RESC1005X04N","74.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R363","RESC1005X04N","74.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R362","RESC1005X04N","82.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R361","RESC1005X04N","84.9500","165.1900","TopLayer","90","RC0402FR-0722RL"
"R360","RESC1005X04N","88.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R359","RESC1005X04N","84.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R358","RESC1005X04N","72.9210","168.6900","TopLayer","90","RC0402FR-0722RL"
"R357","RESC1005X04N","86.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R356","RESC1005X04N","82.9500","168.6900","TopLayer","270","RC0402FR-0722RL"
"R355","RESC1005X04N","80.9300","168.6900","TopLayer","270","RC0402FR-0722RL"
"R354","RESC1005X04N","76.9500","168.6900","TopLayer","90","RC0402FR-0722RL"
"R346","RESC1005X04N","62.7000","116.4400","TopLayer","90","RC0402FR-0722RL"
"R345","RESC1005X04N","64.7000","116.4400","TopLayer","90","RC0402FR-0722RL"
"R353","RESC1005X04N","60.7000","119.4400","TopLayer","90","RC0402FR-0722RL"
"R352","RESC1005X04N","23.9500","125.6900","TopLayer","180","RC0402FR-0722RL"
"R351","RESC1005X04N","28.2000","125.6900","TopLayer","360","RC0402FR-0722RL"
"R350","RESC1005X04N","62.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R349","RESC1005X04N","64.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R348","RESC1005X04N","73.1500","119.4400","TopLayer","90","RC0402FR-0722RL"
"R347","RESC1005X04N","77.2000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R344","RESC1005X04N","74.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R343","RESC1005X04N","78.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R342","RESC1005X04N","76.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R341","RESC1005X04N","71.2000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R340","RESC1005X04N","68.7000","104.9400","TopLayer","270","RC0402FR-0722RL"
"R339","RESC1005X04N","71.2000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R338","RESC1005X04N","60.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R337","RESC1005X04N","66.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R336","RESC1005X04N","64.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R335","RESC1005X04N","62.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R334","RESC1005X04N","48.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R333","RESC1005X04N","50.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R332","RESC1005X04N","52.7000","119.4400","TopLayer","90","RC0402FR-0722RL"
"R331","RESC1005X04N","54.7000","119.4400","TopLayer","90","RC0402FR-0722RL"
"R330","RESC1005X04N","58.6600","119.4400","TopLayer","270","RC0402FR-0722RL"
"R329","RESC1005X04N","58.6600","116.4400","TopLayer","270","RC0402FR-0722RL"
"R328","RESC1005X04N","60.7000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R327","RESC1005X04N","54.7000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R326","RESC1005X04N","52.7000","116.4400","TopLayer","90","RC0402FR-0722RL"
"R325","RESC1005X04N","54.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R324","RESC1005X04N","56.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R323","RESC1005X04N","56.7000","116.4400","TopLayer","90","RC0402FR-0722RL"
"R322","RESC1005X04N","52.7000","104.9400","TopLayer","270","RC0402FR-0722RL"
"R321","RESC1005X04N","50.7000","116.4400","TopLayer","90","RC0402FR-0722RL"
"R320","RESC1005X04N","56.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R319","RESC1005X04N","58.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R318","RESC1005X04N","50.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R317","RESC1005X04N","8.7000","107.9400","TopLayer","90","RC0402FR-0722RL"
"R316","RESC1005X04N","8.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R315","RESC1005X04N","36.7000","119.4400","TopLayer","90","RC0402FR-0722RL"
"R314","RESC1005X04N","42.7000","119.4400","TopLayer","90","RC0402FR-0722RL"
"R313","RESC1005X04N","44.7000","119.4400","TopLayer","90","RC0402FR-0722RL"
"R312","RESC1005X04N","38.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R311","RESC1005X04N","40.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R310","RESC1005X04N","44.7000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R309","RESC1005X04N","46.7000","119.4400","TopLayer","270","RC0402FR-0722RL"
"R308","RESC1005X04N","46.7000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R307","RESC1005X04N","48.7000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R306","RESC1005X04N","97.2000","135.6900","TopLayer","90","RC0402FR-0722RL"
"R305","RESC1005X04N","89.9500","107.9400","TopLayer","270","RC0402FR-0722RL"
"R304","RESC1005X04N","91.4500","107.9400","TopLayer","90","RC0402FR-0722RL"
"R303","RESC1005X04N","48.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R302","RESC1005X04N","36.7000","104.9400","TopLayer","270","RC0402FR-0722RL"
"R301","RESC1005X04N","34.7000","104.9400","TopLayer","270","RC0402FR-0722RL"
"R300","RESC1005X04N","36.7000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R299","RESC1005X04N","40.7000","116.4400","TopLayer","270","RC0402FR-0722RL"
"R298","RESC1005X04N","38.7000","116.4400","TopLayer","90","RC0402FR-0722RL"
"R297","RESC1005X04N","42.7000","116.4400","TopLayer","90","RC0402FR-0722RL"
"R296","RESC1005X04N","46.7000","104.9400","TopLayer","270","RC0402FR-0722RL"
"R295","RESC1005X04N","40.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R294","RESC1005X04N","44.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R293","RESC1005X04N","38.7000","104.9400","TopLayer","90","RC0402FR-0722RL"
"R292","RESC1005X04N","42.7000","104.9400","TopLayer","270","RC0402FR-0722RL"
"J248","TSW-106-08-F-T-RA","11.6700","149.7000","TopLayer","180","TSW-106-08-F-T-RA"
"U201","SOIC127P600X175-8N","30.2350","116.0550","TopLayer","270","MCP2551-I/SN"
"FB210","WE-CBF_0805_High_Current","7.3000","123.9400","TopLayer","180","742792023"
"C276","WCAP-ATG8_5x11x2x0.5","13.1000","126.3400","TopLayer","180","10 uF"
"C275","WCAP-ATG8_5x11x2x0.5","3.5000","126.6400","TopLayer","180","10 uF"
"C279","WCAP-CSGP_0805,_2x1.25x1.25","20.4300","144.7000","TopLayer","180","1uF"
"C280","WCAP-CSGP_0805,_2x1.25x1.25","13.9300","144.7000","TopLayer","180","1uF"
"C277","WCAP-CSGP_0805,_2x1.25x1.25","7.0300","144.7000","TopLayer","180","1uF"
"C281","WCAP-CSGP_0603,_1.6x0.8x0.8","20.4800","136.9300","TopLayer","180","100nF"
"C282","WCAP-CSGP_0603,_1.6x0.8x0.8","13.4800","136.9300","TopLayer","180","100nF"
"C278","WCAP-CSGP_0603,_1.6x0.8x0.8","6.4800","136.9500","TopLayer","180","100nF"
"C285","WCAP-CSGP_0805,_2x1.25x1.25","17.1300","144.7000","TopLayer","360","1uF"
"C286","WCAP-CSGP_0805,_2x1.25x1.25","10.7300","144.7000","TopLayer","360","1uF"
"C283","WCAP-CSGP_0805,_2x1.25x1.25","3.9300","144.7000","TopLayer","360","1uF"
"C287","WCAP-CSGP_0603,_1.6x0.8x0.8","16.9800","136.9300","TopLayer","180","100nF"
"C288","WCAP-CSGP_0603,_1.6x0.8x0.8","9.9800","136.9300","TopLayer","180","100nF"
"C284","WCAP-CSGP_0603,_1.6x0.8x0.8","2.9800","136.9700","TopLayer","180","100nF"
"J241","690367280876","36.6000","125.8400","TopLayer","360","690367280876"
"Q201","SOT-23","20.4800","132.6800","TopLayer","180","2N7002"
"Q202","SOT-23","13.4800","132.6800","TopLayer","180","2N7002"
"Q200","SOT-23","6.4800","132.7000","TopLayer","180","2N7002"
"Q204","SOT-23","16.9800","132.6800","TopLayer","180","2N7002"
"Q205","SOT-23","9.9800","132.6800","TopLayer","180","2N7002"
"Q203","SOT-23","2.9800","132.7200","TopLayer","180","2N7002"
"R271","RESC1608X06N","20.4800","129.9300","TopLayer","180","RC0603FR-0710KL"
"R272","RESC1608X06N","13.4800","129.9300","TopLayer","180","RC0603FR-0710KL"
"R268","RESC1608X06N","6.4800","129.9500","TopLayer","180","RC0603FR-0710KL"
"R274","RESC1608X06N","20.4800","140.1800","TopLayer","180","RC0603FR-0710KL"
"R275","RESC1608X06N","13.4800","140.1800","TopLayer","180","RC0603FR-0710KL"
"R269","RESC1608X06N","6.4800","140.1800","TopLayer","180","RC0603FR-0710KL"
"R276","RESC1608X06N","20.4800","138.4300","TopLayer","360","RC0603FR-0710KL"
"R277","RESC1608X06N","13.4800","138.4300","TopLayer","360","RC0603FR-0710KL"
"R270","RESC1608X06N","6.4800","138.4500","TopLayer","360","RC0603FR-0710KL"
"R278","RESC1608X06N","20.4800","135.4300","TopLayer","360","RC0603FR-0710KL"
"R279","RESC1608X06N","13.4800","135.4300","TopLayer","360","RC0603FR-0710KL"
"R273","RESC1608X06N","6.4800","135.4500","TopLayer","360","RC0603FR-0710KL"
"R283","RESC1608X06N","16.9800","129.9300","TopLayer","360","RC0603FR-0710KL"
"R284","RESC1608X06N","9.9800","129.9300","TopLayer","360","RC0603FR-0710KL"
"R280","RESC1608X06N","2.9800","129.9700","TopLayer","360","RC0603FR-0710KL"
"R286","RESC1608X06N","16.9800","140.1800","TopLayer","360","RC0603FR-0710KL"
"R287","RESC1608X06N","9.9800","140.1800","TopLayer","360","RC0603FR-0710KL"
"R281","RESC1608X06N","2.9800","140.1800","TopLayer","360","RC0603FR-0710KL"
"R288","RESC1608X06N","16.9800","138.4300","TopLayer","360","RC0603FR-0710KL"
"R289","RESC1608X06N","9.9800","138.4300","TopLayer","360","RC0603FR-0710KL"
"R282","RESC1608X06N","2.9800","138.4700","TopLayer","360","RC0603FR-0710KL"
"R290","RESC1608X06N","16.9800","135.4300","TopLayer","360","RC0603FR-0710KL"
"R291","RESC1608X06N","9.9800","135.4300","TopLayer","360","RC0603FR-0710KL"
"R285","RESC1608X06N","2.9800","135.4700","TopLayer","360","RC0603FR-0710KL"
"FB211","WE-CBF_0805_High_Current","18.4000","126.2400","TopLayer","180","742792023"
"R251","RESC1608X06N","17.6300","141.7000","TopLayer","360","RC0603FR-070RL"
"R266","RESC1608X06N","10.4800","141.7000","TopLayer","360","RC0603FR-070RL"
"R267","RESC1608X06N","3.9800","141.7000","TopLayer","360","RC0603FR-070RL"
"U208","MSOP-8","95.9500","117.6900","TopLayer","270","MAX485CUA+"
"U207","SOT23_95P280X145-5N","48.0001","139.3099","TopLayer","90","INA139NA"
"U206","SOT23_95P280X145-5N","54.7261","139.3099","TopLayer","90","INA139NA"
"U205","SOT23_95P280X145-5N","51.3261","139.3099","TopLayer","90","INA139NA"
"U204","SOT23_95P280X145-5N","58.2261","139.3099","TopLayer","90","INA139NA"
"U203","SOT223","14.9000","119.6600","TopLayer","90","ZLDO1117G33TA"
"U202","SOT223","22.6000","119.6400","TopLayer","90","ZLDO1117G33TA"
"U200","SSOP28","6.2550","117.6550","TopLayer","180","FT232RL"
"R265","RESC1005X04N","97.2000","120.9400","TopLayer","360","RC0402FR-0710KL"
"R264","RESC1608X06N","36.7000","139.6900","TopLayer","90","RC0603FR-070RL"
"R263","RESC1005X04N","98.4500","116.1900","TopLayer","90","RC0402FR-0710KL"
"R262","RESC1005X04N","98.4500","118.9400","TopLayer","270","RC0402FR-0710KL"
"R261","RESC1608X06N","38.7000","139.6900","TopLayer","90","RC0603FR-070RL"
"R260","RESC1005X04N","47.2000","135.9400","TopLayer","270","RC0402FR-07100KL"
"R259","RESC1005X04N","53.9500","135.9400","TopLayer","270","RC0402FR-07100KL"
"R258","RESC2012X06N","47.8170","142.8760","TopLayer","360","CRF0805-FZ-R010ELF"
"R257","RESC2012X06N","51.1501","142.8760","TopLayer","360","CRF0805-FZ-R010ELF"
"R256","RESC1005X04N","50.4500","135.9400","TopLayer","270","RC0402FR-07100KL"
"R255","RESC1005X04N","57.4500","135.9400","TopLayer","270","RC0402FR-07100KL"
"R254","RESC2012X06N","54.5480","142.8760","TopLayer","360","CRF0805-FZ-R010ELF"
"R253","RESC1608X06N","62.2000","139.6900","TopLayer","90","RC0603FR-070RL"
"R252","RESC2012X06N","57.9770","142.8760","TopLayer","360","CRF0805-FZ-R010ELF"
"R250","RESC1608X06N","91.2000","116.1900","TopLayer","360","RC0603FR-070RL"
"R249","RESC1608X06N","12.8000","112.6610","TopLayer","180","RC0603FR-070RL"
"R248","RESC1608X06N","20.6000","112.6400","TopLayer","180","RC0603FR-070RL"
"R247","RESC1005X04N","43.9500","132.6900","TopLayer","270","RC0402FR-0710KL"
"R246","RESC1005X04N","49.9500","132.6900","TopLayer","90","RC0402FR-0710KL"
"R245","RESC1005X04N","55.4500","132.6900","TopLayer","270","RC0402FR-0710KL"
"R244","RESC1005X04N","61.4500","132.6900","TopLayer","270","RC0402FR-0710KL"
"R243","RESC1005X04N","75.2000","116.4400","TopLayer","270","RC0402FR-0710KL"
"R242","RESC1005X04N","70.7000","104.9400","TopLayer","90","RC0402FR-0710KL"
"R241","RESC1005X04N","75.2000","119.4400","TopLayer","90","RC0402FR-0710KL"
"R240","RESC1005X04N","80.7000","104.9400","TopLayer","270","RC0402FR-0710KL"
"R239","RESC1005X04N","59.4500","132.6900","TopLayer","90","RC0402FR-074K7L"
"R238","RESC1005X04N","82.7000","104.9400","TopLayer","270","RC0402FR-074K7L"
"R237","RESC1005X04N","57.4500","132.6900","TopLayer","90","RC0402FR-074K7L"
"R236","RESC1005X04N","77.2000","119.4400","TopLayer","90","RC0402FR-074K7L"
"R235","RESC1005X04N","47.9500","132.6900","TopLayer","90","RC0402FR-074K7L"
"R234","RESC1005X04N","72.7000","104.9400","TopLayer","270","RC0402FR-074K7L"
"R233","RESC1005X04N","45.9600","132.6900","TopLayer","90","RC0402FR-074K7L"
"R232","RESC1005X04N","73.1500","116.4400","TopLayer","90","RC0402FR-074K7L"
"R231","RESC1005X04N","89.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R230","RESC1005X04N","95.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R229","RESC1005X04N","91.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R228","RESC1005X04N","93.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R227","RESC1005X04N","89.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R226","RESC1005X04N","93.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R225","RESC1005X04N","91.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R224","RESC1005X04N","95.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R223","RESC1005X04N","75.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R222","RESC1005X04N","81.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R221","RESC1005X04N","77.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R220","RESC1005X04N","79.2000","135.6900","TopLayer","270","RC0402FR-0710KL"
"R219","RESC1005X04N","75.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R218","RESC1005X04N","79.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R217","RESC1005X04N","77.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R216","RESC1005X04N","81.2000","132.6900","TopLayer","90","RC0402FR-074K7L"
"R211","RESC1608X06N","24.1000","103.9400","TopLayer","90","RC0603FR-070RL"
"R210","RESC1608X06N","28.3350","111.4100","TopLayer","360","RC0603FR-0768RL"
"R209","RESC1005X04N","69.4500","132.6900","TopLayer","90","RC0402FR-074K7L"
"R208","RESC1005X04N","67.4500","132.6900","TopLayer","90","RC0402FR-074K7L"
"R207","RESC1608X06N","32.3350","111.4100","TopLayer","360","RC0603FR-0768RL"
"R206","RESC1608X06N","54.9250","165.1900","TopLayer","270","RC0603FR-070RL"
"R205","RESC1608X06N","56.9250","165.1900","TopLayer","270","RC0603FR-070RL"
"R204","RESC1005X04N","0.9950","117.3300","TopLayer","90","RC0402FR-071KL"
"R203","RESC1005X04N","0.9950","114.7300","TopLayer","270","RC0402FR-071KL"
"R202","RESC1005X04N","54.9250","168.6900","TopLayer","90","RC0402FR-074K7L"
"R201","RESC1005X04N","56.9250","168.6900","TopLayer","90","RC0402FR-074K7L"
"R200","RESC1608X06N","9.2950","111.4610","TopLayer","180","RC0603FR-070RL"
"J240","20-03-5035","94.5000","112.7950","TopLayer","360","22-03-5035"
"J239","TSW-108-08-F-T-RA","39.6100","149.7000","TopLayer","180","TSW-104-08-F-T-RA"
"J238","TSW-104-08-F-T-RA","54.8500","149.7000","TopLayer","180","TSW-104-08-F-T-RA"
"J233","TSW-104-08-F-T-RA","75.1700","149.7000","TopLayer","180","TSW-104-08-F-T-RA"
"J232","CAVALIER","74.1000","140.8400","TopLayer","270","open"
"J231","CAVALIER","74.1000","138.5400","TopLayer","270","open"
"J230","TSW-104-08-F-T-RA","85.3300","149.7000","TopLayer","180","TSW-104-08-F-T-RA"
"J229","690367280876","41.2000","110.7400","TopLayer","360","690367280876"
"J228","CAVALIER","77.7018","140.8400","TopLayer","270","open"
"J227","CAVALIER","77.7018","138.5642","TopLayer","270","open"
"J226","691322110002","24.5000","154.2599","TopLayer","180","691322110002"
"J225","691322110002","95.4500","154.2599","TopLayer","180","691322110002"
"J218","690367280476","56.9191","125.8400","TopLayer","360","690367280476"
"J217","690367280476","48.0191","125.8400","TopLayer","360","690367280476"
"J216","690367280476","84.6950","110.7300","TopLayer","360","690367280476"
"J215","690367280476","75.7950","110.7300","TopLayer","360","690367280476"
"J214","690367280676","92.6840","125.8400","TopLayer","360","690367280676"
"J213","690367280876","16.4000","106.3400","TopLayer","360","690367280876"
"J212","690367280676","81.1840","125.8400","TopLayer","360","690367280676"
"J211","690367280676","53.9450","110.7400","TopLayer","360","690367280676"
"J210","690367280476","29.6000","106.3400","TopLayer","360","690367280476"
"J209","690367280876","68.4000","125.8400","TopLayer","360","690367280876"
"J208","690367280676","65.5000","110.7400","TopLayer","360","690367280676"
"J206","TSW-104-08-F-T-RA","65.0100","149.7000","TopLayer","180","TSW-104-08-F-T-RA"
